stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring
180880,50,2,1.18042,0.143304,0.0422361,0.022735299999999996,-0.721644,-0.49788599999999994,0.335932,0.526704,0.35689499999999996,0.120797,0.113587,0.141997,0.10548199999999999,0.144038,-20
180880,50,10,5.73183,0.169229,0.0420315,0.0222887,-0.709483,-0.482221,0.313853,0.5115609999999999,0.36629,0.0293781,0.0225453,0.0277157,0.0210723,0.018106999999999998,-20
180880,50,30,17.1064,0.315898,0.0426225,0.0243937,-0.7061350000000001,-0.47970799999999997,0.311709,0.5089060000000001,0.365227,0.0208708,0.011475299999999999,0.0171735,0.00918839,0.012518799999999998,-20
180632,30,2,1.06754,0.091973,0.0195643,0.0156226,-0.711821,-0.49036599999999997,0.326083,0.523308,0.352796,0.09307080000000001,0.0921124,0.102697,0.085315,0.107518,-19
180632,30,10,5.25619,0.110001,0.0193864,0.0150233,-0.707238,-0.48408199999999996,0.316187,0.516099,0.359034,0.0211845,0.0178218,0.023483700000000003,0.0171157,0.0165237,-19
180632,30,30,15.7327,0.250249,0.0191916,0.0146041,-0.705398,-0.482311,0.314818,0.5142909999999999,0.3586,0.0123463,0.00797827,0.015161500000000001,0.00573316,0.0115161,-19
180632,50,2,1.08228,0.130752,0.0322371,0.019817500000000002,-0.719585,-0.5010439999999999,0.336373,0.5320590000000001,0.352196,0.109773,0.114353,0.12964,0.09961289999999999,0.125128,-19
180632,50,10,5.2705400000000004,0.133865,0.0325738,0.0206311,-0.708554,-0.484649,0.317176,0.516874,0.359153,0.0252195,0.0230713,0.038142800000000004,0.023179400000000003,0.032602099999999995,-19
180632,50,30,15.7488,0.26357800000000003,0.0322387,0.0195078,-0.7058770000000001,-0.482633,0.314934,0.514655,0.35891999999999996,0.0134287,0.00878378,0.0161672,0.00710245,0.0118714,-19
180432,30,2,0.981108,0.07199610000000001,0.0144476,0.012359100000000001,-0.722881,-0.478559,0.309531,0.518586,0.373323,0.08421210000000001,0.086367,0.09767619999999999,0.08393769999999999,0.0912069,-18
180432,30,10,4.84975,0.0999551,0.014607299999999998,0.012791799999999999,-0.7172270000000001,-0.47340200000000004,0.300263,0.513073,0.377293,0.0221511,0.0182312,0.021478,0.0184787,0.0139446,-18
180432,30,30,14.5177,0.209524,0.0144123,0.0125554,-0.715803,-0.47214399999999995,0.299243,0.511853,0.37685100000000005,0.012609899999999999,0.00844167,0.011295999999999999,0.007863,0.00718828,-18
180432,50,2,0.9920190000000001,0.10393699999999999,0.024080200000000003,0.0165584,-0.728284,-0.48700699999999997,0.316387,0.5271859999999999,0.371718,0.111517,0.107868,0.125029,0.100958,0.11997000000000001,-18
180432,50,10,4.85818,0.111294,0.0242986,0.0168433,-0.71838,-0.474505,0.30091599999999996,0.513935,0.378033,0.025824,0.024650099999999998,0.0278666,0.0241293,0.017248,-18
180432,50,30,14.5295,0.226174,0.024494099999999998,0.0174752,-0.7163619999999999,-0.472538,0.299543,0.512262,0.37709499999999996,0.0134155,0.00945159,0.012199,0.00876681,0.00760322,-18
278992,30,2,1.04131,0.06454,0.0170049,0.0143709,-0.713328,-0.48852399999999996,0.32253899999999996,0.519536,0.359777,0.0881466,0.0882157,0.0976518,0.0818422,0.08704239999999999,-19
278992,30,10,5.14312,0.136828,0.016721700000000003,0.014144,-0.7069449999999999,-0.481621,0.312835,0.512117,0.363614,0.022266099999999997,0.018482,0.0230223,0.0171056,0.0149185,-19
278992,30,30,15.3925,0.283016,0.016899599999999997,0.0141506,-0.705415,-0.480152,0.311844,0.510808,0.36291599999999996,0.0146262,0.00888786,0.0141981,0.0057077,0.00944126,-19
278992,50,2,1.0534700000000001,0.0893536,0.0281817,0.0187196,-0.717046,-0.49365699999999996,0.33110100000000003,0.524934,0.354667,0.12145299999999999,0.106153,0.124009,0.100448,0.137694,-19
278992,50,10,5.15149,0.122579,0.028000599999999997,0.0182805,-0.708326,-0.48249200000000003,0.313884,0.513076,0.363858,0.025661700000000003,0.0218656,0.0310005,0.0210663,0.0282676,-19
278992,50,30,15.4042,0.29854,0.02828,0.0198616,-0.706019,-0.48063100000000003,0.312305,0.5112329999999999,0.363111,0.015242600000000002,0.00969289,0.0148608,0.00680073,0.00970784,-19
279304,30,2,1.1455,0.08175310000000001,0.023629400000000002,0.0171677,-0.714486,-0.490421,0.32143299999999997,0.51956,0.363915,0.0848563,0.0920783,0.101303,0.0875942,0.086655,-20
279304,30,10,5.6327,0.134191,0.0234235,0.0160457,-0.707148,-0.48081999999999997,0.310247,0.510145,0.367576,0.022571599999999997,0.018706,0.0239377,0.0166918,0.0162513,-20
279304,30,30,16.8557,0.343832,0.0237634,0.0173343,-0.705216,-0.479455,0.30906300000000003,0.508653,0.36695500000000003,0.015356100000000001,0.00965899,0.0162988,0.00604023,0.011382799999999998,-20
279304,50,2,1.16009,0.100358,0.0398537,0.0231231,-0.725302,-0.500884,0.33502600000000005,0.5300699999999999,0.361089,0.11788900000000001,0.11988399999999999,0.139599,0.10804200000000001,0.126288,-20
279304,50,10,5.6519699999999995,0.173397,0.03951180000000001,0.0231701,-0.709041,-0.48247700000000004,0.311629,0.5117659999999999,0.36812399999999995,0.026555099999999998,0.0238199,0.0360149,0.0227218,0.0287849,-20
279304,50,30,16.8703,0.349175,0.039297000000000006,0.021575099999999996,-0.705802,-0.479788,0.309285,0.5091180000000001,0.367187,0.016052200000000003,0.010426600000000001,0.016971299999999998,0.00723386,0.0117157,-20
287560,30,2,1.2701799999999999,0.119798,0.0335462,0.0217847,-0.703425,-0.5061680000000001,0.325995,0.52718,0.35641799999999996,0.0983927,0.0989057,0.109769,0.08957260000000002,0.11376800000000001,-21
