stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
123144,30,10,6.67075,0.286196,0.0441593,0.0248625,-0.71411,-0.480389,0.3305,0.511574,0.352425,0.0275761,0.023381,0.0277468,0.0205901,0.0165926,-21,-0.71875,-0.484375,0.328125,0.515625,0.359375,82,97,21,33,23
123144,30,30,19.9261,0.75091,0.0442214,0.027088,-0.710923,-0.478167,0.328409,0.509048,0.351633,0.018791,0.0119839,0.0171492,0.0088485,0.010052,-21,-0.71875,-0.484375,0.328125,0.515625,0.359375,82,97,21,33,23
123144,50,2,1.3977,0.170193,0.0738279,0.0339193,-0.739506,-0.508254,0.368691,0.539968,0.339101,0.142896,0.138391,0.167944,0.12471,0.167508,-21,-0.734375,-0.515625,0.375,0.53125,0.34375,81,95,24,34,22
123144,50,10,6.70237,0.30514,0.0737156,0.0338942,-0.717435,-0.482939,0.332752,0.514066,0.353556,0.0332996,0.0278596,0.0374324,0.0266595,0.0217716,-21,-0.71875,-0.484375,0.328125,0.515625,0.359375,82,97,21,33,23
123144,50,30,19.9579,0.764093,0.0737473,0.0350122,-0.71199,-0.47882,0.32898,0.50977,0.35206,0.0197766,0.0131395,0.018476,0.0102496,0.0107161,-21,-0.71875,-0.484375,0.328125,0.515625,0.359375,82,97,21,33,23
131920,30,2,1.92627,0.296811,0.126261,0.054631,-0.751408,-0.518051,0.397449,0.552887,0.319123,0.160085,0.159441,0.197283,0.138495,0.198892,-24,-0.75,-0.515625,0.40625,0.546875,0.3125,80,95,26,35,20
131920,30,10,9.12236,0.534049,0.124485,0.0529495,-0.724671,-0.483533,0.346516,0.51925,0.342437,0.0375405,0.0299495,0.0409959,0.0273388,0.0233659,-24,-0.71875,-0.484375,0.34375,0.515625,0.34375,82,97,22,33,22
131920,30,30,27.1226,1.42538,0.125755,0.0546176,-0.718091,-0.478598,0.342122,0.514109,0.340458,0.023389,0.0148541,0.0238367,0.00944186,0.01454,-24,-0.71875,-0.484375,0.34375,0.515625,0.34375,82,97,22,33,22
131920,50,2,2.01093,0.422067,0.209086,0.0744891,-0.768675,-0.543428,0.430035,0.575466,0.306602,0.214703,0.207379,0.262655,0.174755,0.269119,-24,-0.765625,-0.546875,0.421875,0.578125,0.3125,79,93,27,37,20
131920,50,10,9.20628,0.586458,0.208992,0.0746622,-0.731499,-0.488093,0.351329,0.524386,0.343877,0.0473641,0.0419893,0.0589139,0.0396144,0.0362561,-24,-0.734375,-0.484375,0.34375,0.53125,0.34375,81,97,22,34,22
131920,50,30,27.1998,1.4431,0.208854,0.0740515,-0.720341,-0.47997,0.343418,0.51571,0.341183,0.0256558,0.0173795,0.0268763,0.0128491,0.0159251,-24,-0.71875,-0.484375,0.34375,0.515625,0.34375,82,97,22,33,22
26264,30,2,18.8759,0.963514,0.587349,0.182923,-0.724253,-0.500959,0.32608,0.53066,0.368472,0.0546214,0.0535147,0.0600194,0.0523088,0.0324172,-28,-0.71875,-0.5,0.328125,0.53125,0.359375,82,96,21,34,23
26264,30,10,92.0596,0.962012,0.5896,0.180659,-0.705044,-0.486229,0.312902,0.515103,0.363269,0.0115729,0.0102897,0.0124112,0.0098938,0.00645644,-28,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
26264,30,30,274.975,1.13769,0.58088,0.176789,-0.702081,-0.484182,0.31151,0.512887,0.361866,0.00361742,0.00326938,0.0039737,0.00302151,0.00223681,-28,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
26264,50,2,19.2705,1.39539,0.973876,0.229631,-0.73677,-0.51377,0.335256,0.542518,0.372766,0.0818623,0.0723562,0.0872093,0.068687,0.0804398,-28,-0.734375,-0.515625,0.328125,0.546875,0.375,81,95,21,35,24
26264,50,10,92.4187,1.23095,0.968777,0.22374,-0.708297,-0.488597,0.314676,0.517516,0.364703,0.013928,0.0133724,0.0148752,0.0126028,0.00895272,-28,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
26264,50,30,275.3,1.39121,0.976949,0.237814,-0.70321,-0.485074,0.312035,0.513766,0.362482,0.00502827,0.00425968,0.00548348,0.00421747,0.00300651,-28,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
33800,30,2,1.97297,0.326942,0.133734,0.0574952,-0.770452,-0.504797,0.404511,0.547461,0.323276,0.162675,0.154315,0.202202,0.135493,0.188179,-25,-0.765625,-0.5,0.40625,0.546875,0.3125,79,96,26,35,20
33800,30,10,9.31935,0.562088,0.134479,0.0599383,-0.739963,-0.471692,0.35403,0.514495,0.343129,0.0434898,0.0350149,0.0494107,0.0325332,0.0372129,-25,-0.75,-0.46875,0.359375,0.515625,0.34375,80,98,23,33,22
33800,30,30,27.6922,1.47417,0.133696,0.0581927,-0.732656,-0.466479,0.348301,0.508928,0.341905,0.0255801,0.0160054,0.0186032,0.0107945,0.0114015,-25,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
33800,50,2,2.05418,0.364885,0.224628,0.0799781,-0.793491,-0.533283,0.451929,0.575297,0.299547,0.231117,0.215444,0.285402,0.182645,0.292211,-25,-0.796875,-0.53125,0.453125,0.578125,0.296875,77,94,29,37,19
33800,50,10,9.40741,0.622501,0.224066,0.0773039,-0.746602,-0.476346,0.357906,0.519509,0.345532,0.051067,0.0439288,0.0576719,0.041208,0.0340574,-25,-0.75,-0.46875,0.359375,0.515625,0.34375,80,98,23,33,22
33800,50,30,27.7783,1.49322,0.224061,0.0836364,-0.734823,-0.467941,0.349438,0.510427,0.342899,0.0276273,0.0191837,0.0208653,0.0135693,0.0162995,-25,-0.734375,-0.46875,0.34375,0.515625,0.34375,81,98,22,33,22
41048,30,2,1.39236,0.137953,0.0474258,0.0265264,-0.715206,-0.506304,0.348174,0.531091,0.342246,0.111623,0.112897,0.127651,0.0993371,0.125581,-23,-0.71875,-0.5,0.34375,0.53125,0.34375,82,96,22,34,22
41048,30,10,6.77343,0.303475,0.0476369,0.0266768,-0.702171,-0.490566,0.3253,0.515023,0.352414,0.025355,0.0224578,0.0287663,0.0220998,0.0172689,-23,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
41048,30,30,20.2234,0.776578,0.047576,0.0268041,-0.698688,-0.487628,0.322889,0.51233,0.351097,0.0154592,0.00928551,0.0154007,0.00921538,0.00958929,-23,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
41048,50,2,1.42469,0.196361,0.079182,0.0364673,-0.726812,-0.522098,0.363768,0.544796,0.340346,0.144587,0.146782,0.167349,0.129568,0.163004,-23,-0.734375,-0.515625,0.359375,0.546875,0.34375,81,95,23,35,22
41048,50,10,6.80583,0.318332,0.0795429,0.040834,-0.705252,-0.492372,0.327333,0.517554,0.352736,0.0321892,0.0277766,0.0353322,0.0262055,0.0294546,-23,-0.703125,-0.5,0.328125,0.515625,0.359375,83,96,21,33,23
41048,50,30,20.2554,0.79022,0.0789867,0.0353839,-0.699693,-0.488454,0.323366,0.513096,0.351685,0.016164,0.0105773,0.0162344,0.0101878,0.0100513,-23,-0.703125,-0.484375,0.328125,0.515625,0.34375,83,97,21,33,22
188560,30,2,0.989122,0.0803532,0.0136044,0.0123941,-0.702676,-0.490267,0.304412,0.517501,0.37103,0.0893067,0.0870569,0.0896011,0.0801242,0.0868593,-19,-0.703125,-0.484375,0.296875,0.515625,0.375,83,97,19,33,24
188560,30,10,4.88561,0.136364,0.0135917,0.0123739,-0.698727,-0.484637,0.296189,0.511699,0.375477,0.0240921,0.0178336,0.0206832,0.0175096,0.015819,-19,-0.703125,-0.484375,0.296875,0.515625,0.375,83,97,19,33,24
188560,30,30,14.6313,0.37488,0.0136639,0.0129084,-0.697872,-0.48342,0.295622,0.510729,0.374941,0.0176676,0.0104087,0.0124607,0.00908879,0.0103684,-19,-0.703125,-0.484375,0.296875,0.515625,0.375,83,97,19,33,24
188560,50,2,0.997305,0.0884153,0.0226851,0.0167817,-0.708075,-0.495853,0.311076,0.524096,0.368756,0.10867,0.104992,0.114217,0.101979,0.109935,-19,-0.703125,-0.5,0.3125,0.515625,0.375,83,96,20,33,24
188560,50,10,4.89421,0.145614,0.0227616,0.016891,-0.700751,-0.485386,0.297483,0.512881,0.375773,0.0270894,0.0249096,0.0253577,0.0230141,0.0174862,-19,-0.703125,-0.484375,0.296875,0.515625,0.375,83,97,19,33,24
188560,50,30,14.6394,0.37863,0.0227342,0.0165291,-0.698196,-0.483691,0.295761,0.510967,0.37516,0.0181649,0.0105899,0.0130478,0.00940041,0.0106642,-19,-0.703125,-0.484375,0.296875,0.515625,0.375,83,97,19,33,24
270544,30,2,1.0016,0.0663947,0.0146004,0.0132664,-0.733267,-0.476809,0.32806,0.524876,0.357139,0.0858837,0.0891469,0.105525,0.0856712,0.0911222,-18,-0.734375,-0.484375,0.328125,0.53125,0.359375,81,97,21,34,23
270544,30,10,4.95201,0.0803351,0.0146073,0.0127266,-0.726623,-0.469729,0.31631,0.51721,0.362832,0.0209722,0.0173648,0.0218822,0.0162976,0.0148737,-18,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
270544,30,30,14.8273,0.155809,0.0145728,0.0125678,-0.725626,-0.468981,0.315577,0.51644,0.36259,0.0114935,0.00837913,0.0132129,0.00546576,0.00851569,-18,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
