CMSSWID,SM/iz,TT/SC,Strip,XTAL,iphi/ix,ieta/iy,eta,eta_ring,A,t0,alpha,beta,stripid
872415782,-1,237,1,5,4,38,-1.53651,-18,0.229265,121.46600000000001,1.47431,37.8024,237704
872415783,-1,237,2,2,4,39,-1.54124,-18,0.22334400000000001,124.51299999999999,1.4994,39.1995,237648
872415784,-1,237,2,4,4,40,-1.54565,-18,0.230679,122.41,1.58971,36.1766,237648
872415785,-1,236,4,4,4,41,-1.54919,-18,0.229363,123.333,1.5312700000000001,37.3069,237640
872415786,-1,236,3,2,4,42,-1.55282,-18,0.23551799999999998,122.546,1.56968,35.3826,229656
872415787,-1,236,3,5,4,43,-1.55609,-18,0.232769,122.23100000000001,1.50768,36.6834,229656
872415788,-1,236,5,2,4,44,-1.5590000000000002,-18,0.233996,122.58,1.60915,35.3136,229896
872415789,-1,236,5,4,4,45,-1.56154,-18,0.23174299999999998,121.311,1.50671,36.7669,229896
872415790,-1,235,4,1,4,46,-1.5634,-18,0.229688,122.205,1.3793799999999998,39.001999999999995,229832
872415791,-1,235,4,2,4,47,-1.56508,-18,0.227539,123.73100000000001,1.4126299999999998,39.2682,229832
872415792,-1,235,4,3,4,48,-1.56637,-19,0.2333,122.425,1.54606,36.161,229832
872415793,-1,235,4,4,4,49,-1.56728,-19,0.22152,123.465,1.27221,42.9865,229832
872415794,-1,235,4,5,4,50,-1.56779,-19,0.23149299999999998,122.72399999999999,1.53443,36.6739,229832
872415795,-1,156,4,5,4,51,-1.56789,-19,0.225385,120.221,1.18797,43.3697,229768
872415796,-1,156,4,4,4,52,-1.5675700000000001,-19,0.230557,121.321,1.4423700000000002,37.9768,229768
872415797,-1,156,4,3,4,53,-1.56687,-19,0.230817,122.302,1.48663,37.4331,229768
872415798,-1,156,4,2,4,54,-1.56577,-18,0.231273,122.896,1.51101,37.1145,229768
872415799,-1,156,4,1,4,55,-1.56428,-18,0.22905999999999999,123.40100000000001,1.453,38.3382,229768
872415800,-1,157,5,5,4,56,-1.5626200000000001,-18,0.23075500000000002,121.524,1.47282,37.4718,229704
872415801,-1,157,5,3,4,57,-1.56026,-18,0.23016999999999999,122.54299999999999,1.47943,37.6178,229704
872415802,-1,157,3,3,4,58,-1.5575299999999999,-18,0.224869,125.12700000000001,1.44885,39.7696,229464
872415803,-1,157,3,2,4,59,-1.55444,-18,0.226277,126.08200000000001,1.5127899999999999,38.5614,229464
872415804,-1,157,4,2,4,60,-1.5509899999999999,-18,0.234136,122.506,1.53082,36.2343,221448
872415805,-1,158,4,5,4,61,-1.5476299999999998,-18,0.22711399999999998,121.749,1.50289,37.8907,221456
872415806,-1,158,4,3,4,62,-1.54338,-18,0.21242199999999997,127.915,1.41773,43.9522,221456
872415807,-1,158,3,5,4,63,-1.53881,-18,0.22683299999999998,122.346,1.48427,38.3284,221384
872415808,-1,158,3,4,4,64,-1.53391,-18,0.224429,121.715,1.37171,40.2204,221384
872415809,-1,158,3,2,4,65,-1.5287,-18,0.23400700000000002,120.861,1.53015,36.0966,221384
872415908,-1,237,1,2,5,36,-1.54511,-18,0.23241799999999999,122.539,1.5626,36.1763,237704
872415909,-1,237,1,4,5,37,-1.5506799999999998,-18,0.217987,124.72399999999999,1.32003,43.2818,237704
872415910,-1,237,2,1,5,38,-1.55592,-18,0.220915,124.757,1.4191799999999999,41.0129,237648
872415911,-1,237,2,3,5,39,-1.56084,-18,0.229062,123.012,1.57144,36.7787,237648
872415912,-1,237,2,5,5,40,-1.56542,-18,0.226075,123.027,1.50688,38.2706,237648
872415913,-1,236,4,5,5,41,-1.5691700000000002,-19,0.226152,124.167,1.4774399999999999,38.8843,237640
872415914,-1,236,3,3,5,42,-1.57295,-19,0.23424,122.17399999999999,1.5354,36.0312,229656
872415915,-1,236,5,1,5,43,-1.57636,-19,0.23055799999999999,121.883,1.48874,37.4231,229896
872415916,-1,236,5,3,5,44,-1.57939,-19,0.230895,122.509,1.54488,36.7109,229896
872415917,-1,236,5,5,5,45,-1.5820299999999998,-19,0.23251799999999997,121.041,1.5215,36.4163,229896
872415918,-1,235,5,1,5,46,-1.5840100000000001,-19,0.229502,122.831,1.43604,38.7017,229840
872415919,-1,235,5,2,5,47,-1.58576,-19,0.230881,122.302,1.47482,37.4562,229840
872415920,-1,235,5,3,5,48,-1.58711,-19,0.23144699999999999,122.523,1.52241,36.8547,229840
872415921,-1,235,5,4,5,49,-1.58805,-19,0.22489299999999998,123.213,1.38863,40.3505,229840
872415922,-1,235,5,5,5,50,-1.58859,-19,0.228081,123.177,1.49456,38.0153,229840
872415923,-1,156,5,5,5,51,-1.5887,-19,0.22421999999999997,123.76,1.4385299999999999,39.6951,229776
872415924,-1,156,5,4,5,52,-1.58837,-19,0.225831,123.74799999999999,1.50327,38.5076,229776
872415925,-1,156,5,3,5,53,-1.5876299999999999,-19,0.22384600000000002,122.235,1.34499,40.9367,229776
872415926,-1,156,5,2,5,54,-1.58648,-19,0.21970399999999998,124.587,1.40005,41.6158,229776
872415927,-1,156,5,1,5,55,-1.58493,-19,0.22991799999999998,123.34899999999999,1.49953,37.5599,229776
872415928,-1,157,5,4,5,56,-1.5831600000000001,-19,0.232369,121.42,1.49263,36.8751,229704
872415929,-1,157,5,2,5,57,-1.58071,-19,0.226638,124.02600000000001,1.4628299999999999,38.9005,229704
872415930,-1,157,5,1,5,58,-1.57787,-19,0.235925,121.958,1.56605,35.3479,229704
872415931,-1,157,3,1,5,59,-1.57464,-19,0.232012,124.639,1.5346,36.832,229464
872415932,-1,157,4,1,5,60,-1.57105,-19,0.233657,123.025,1.5340200000000002,36.3163,221448
872415933,-1,158,4,4,5,61,-1.56748,-19,0.231219,120.615,1.5427600000000001,36.4124,221456
872415934,-1,158,4,2,5,62,-1.56308,-18,0.230837,120.714,1.51861,36.83,221456
872415935,-1,158,4,1,5,63,-1.5583200000000001,-18,0.227519,122.19,1.49973,37.9277,221456
872415936,-1,158,3,3,5,64,-1.55324,-18,0.23342399999999996,121.594,1.59964,35.4154,221384
872415937,-1,158,3,1,5,65,-1.5478299999999998,-18,0.233148,123.14399999999999,1.62348,35.3382,221384
872416026,-1,233,1,1,6,26,-1.48795,-18,0.232658,125.02,1.62471,35.6212,237832
872416027,-1,233,1,2,6,27,-1.49662,-18,0.22938899999999998,123.015,1.4747700000000001,37.8869,237832
872416028,-1,233,1,3,6,28,-1.5051,-18,0.22401999999999997,125.59,1.50511,39.1161,237832
872416029,-1,233,1,4,6,29,-1.51337,-18,0.22871799999999998,124.69200000000001,1.56275,37.1725,237832
872416030,-1,233,1,5,6,30,-1.5214299999999998,-18,0.232765,124.435,1.65955,35.131,237832
872416031,-1,232,1,1,6,31,-1.52801,-18,0.23600500000000002,122.995,1.5607600000000001,35.5756,237768
872416032,-1,232,1,3,6,32,-1.53551,-18,0.231523,125.35799999999999,1.6132,35.9869,237768
872416033,-1,232,1,5,6,33,-1.54274,-18,0.232356,124.37899999999999,1.61555,35.8028,237768
872416034,-1,232,2,1,6,34,-1.54969,-18,0.235644,122.706,1.58507,35.1731,237968
872416035,-1,232,2,2,6,35,-1.55636,-18,0.23435100000000003,122.32700000000001,1.53206,36.0761,237968
872416036,-1,231,1,1,6,36,-1.56177,-18,0.22837800000000003,125.053,1.40514,39.6707,237960
872416037,-1,231,1,2,6,37,-1.56771,-19,0.229555,125.031,1.4905700000000002,37.9306,237960
872416038,-1,231,1,4,6,38,-1.57332,-19,0.23343699999999998,123.012,1.50746,36.714,237960
872416039,-1,231,2,1,6,39,-1.5785799999999999,-19,0.230132,123.634,1.46122,38.0209,237904
872416040,-1,231,2,3,6,40,-1.58349,-19,0.22863699999999998,123.65899999999999,1.48939,37.8851,237904
872416041,-1,230,2,1,6,41,-1.5873700000000002,-19,0.236548,121.82,1.48413,36.2331,237896
872416042,-1,230,2,4,6,42,-1.59141,-19,0.23047399999999998,122.02600000000001,1.40057,38.5447,237896
872416043,-1,230,1,1,6,43,-1.5950600000000001,-19,0.233332,124.359,1.54011,36.3008,229912
872416044,-1,230,1,2,6,44,-1.5983100000000001,-19,0.23141799999999998,123.069,1.39688,38.4431,229912
872416045,-1,230,1,4,6,45,-1.60115,-19,0.233578,124.31299999999999,1.57456,35.8995,229912
872416046,-1,229,2,1,6,46,-1.60319,-19,0.23094299999999998,122.85799999999999,1.49085,37.4188,229904
872416047,-1,229,2,4,6,47,-1.60507,-19,0.230596,119.932,1.3444,39.1079,229904
872416048,-1,229,1,1,6,48,-1.60651,-19,0.22951300000000002,124.334,1.4943899999999999,37.7915,229848
872416049,-1,229,1,3,6,49,-1.60752,-19,0.224685,124.47,1.44392,39.6409,229848
872416050,-1,229,1,5,6,50,-1.60809,-19,0.231839,122.76299999999999,1.53155,36.5994,229848
872416051,-1,150,1,5,6,51,-1.6082100000000001,-19,0.227692,122.36200000000001,1.17634,43.2824,229784
872416052,-1,150,1,4,6,52,-1.60785,-19,0.233496,124.04799999999999,1.52294,36.5675,229784
872416053,-1,150,1,2,6,53,-1.60706,-19,0.23585599999999998,123.486,1.5832600000000001,35.2125,229784
872416054,-1,150,2,5,6,54,-1.6058299999999999,-19,0.23212399999999997,122.444,1.45341,37.617,229720
872416055,-1,150,2,3,6,55,-1.60417,-19,0.21893,125.09200000000001,1.18685,45.4415,229720
872416056,-1,151,1,5,6,56,-1.60235,-19,0.23639699999999997,122.804,1.54229,35.6837,229712
