stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
779336,-0.614100,-0.524437,0.273461,0.495392,0.369685,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
779400,-0.603771,-0.529225,0.269446,0.494356,0.369194,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
779464,-0.617877,-0.523670,0.277073,0.497230,0.367244,-0.625000,-0.531250,0.281250,0.500000,0.375000,88.000000,94.000000,18.000000,32.000000,24.000000
779472,-0.617610,-0.524298,0.282551,0.496618,0.362739,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
779528,-0.625742,-0.520964,0.279100,0.500316,0.367290,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
779536,-0.635371,-0.517425,0.292800,0.501321,0.358674,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
779592,-0.636605,-0.515613,0.287738,0.500365,0.364115,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
779720,-0.626117,-0.518580,0.274951,0.496434,0.373311,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
779848,-0.587276,-0.535441,0.259226,0.491516,0.371976,-0.593750,-0.531250,0.265625,0.484375,0.375000,90.000000,94.000000,17.000000,31.000000,24.000000
779856,-0.615511,-0.525046,0.283209,0.495655,0.361693,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
779976,-0.601707,-0.529442,0.258955,0.495048,0.377146,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
779984,-0.611090,-0.527137,0.274587,0.497202,0.366438,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
786504,-0.681541,-0.490896,0.296000,0.504331,0.372107,-0.687500,-0.484375,0.296875,0.500000,0.375000,84.000000,97.000000,19.000000,32.000000,24.000000
786512,-0.650600,-0.508401,0.279456,0.504725,0.374819,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
786568,-0.634501,-0.515695,0.272394,0.501646,0.376156,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
786576,-0.651866,-0.506139,0.272437,0.503068,0.382500,-0.656250,-0.500000,0.265625,0.500000,0.390625,86.000000,96.000000,17.000000,32.000000,25.000000
786632,-0.623428,-0.519862,0.265084,0.498763,0.379442,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
786640,-0.639738,-0.512989,0.275677,0.501250,0.375800,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
786696,-0.606310,-0.525293,0.252189,0.492858,0.386557,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
786704,-0.651933,-0.508945,0.285155,0.506460,0.369262,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
786712,-0.641762,-0.513578,0.274058,0.506021,0.375261,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
786760,-0.675928,-0.497999,0.306757,0.509495,0.357675,-0.671875,-0.500000,0.312500,0.500000,0.359375,85.000000,96.000000,20.000000,32.000000,23.000000
786768,-0.641831,-0.512182,0.276103,0.502364,0.375547,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
786776,-0.636574,-0.512221,0.264512,0.498146,0.386136,-0.640625,-0.515625,0.265625,0.500000,0.390625,87.000000,95.000000,17.000000,32.000000,25.000000
786824,-0.625747,-0.518084,0.259692,0.498769,0.385370,-0.625000,-0.515625,0.250000,0.500000,0.390625,88.000000,95.000000,16.000000,32.000000,25.000000
786832,-0.644518,-0.511309,0.277871,0.503376,0.374580,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
786888,-0.648014,-0.509593,0.288007,0.501580,0.368020,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
786896,-0.619533,-0.521591,0.264389,0.497736,0.378999,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
786952,-0.615859,-0.522569,0.265625,0.494990,0.377812,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
787016,-0.659525,-0.503707,0.289017,0.503832,0.370383,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
787080,-0.629704,-0.516835,0.269369,0.498469,0.378702,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
787088,-0.615172,-0.523700,0.261162,0.497780,0.379930,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
787144,-0.642042,-0.512588,0.286097,0.500825,0.367708,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
787208,-0.608122,-0.526980,0.259065,0.497340,0.378697,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
787216,-0.596182,-0.530176,0.250692,0.492107,0.383560,-0.593750,-0.531250,0.250000,0.484375,0.390625,90.000000,94.000000,16.000000,31.000000,25.000000
787272,-0.634396,-0.517442,0.286228,0.501790,0.363821,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
787336,-0.603870,-0.527872,0.259239,0.493904,0.378599,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
787400,-0.596354,-0.531021,0.253216,0.493822,0.380337,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
787408,-0.621646,-0.520086,0.277837,0.493382,0.370513,-0.625000,-0.515625,0.281250,0.484375,0.375000,88.000000,95.000000,18.000000,31.000000,24.000000
787464,-0.613481,-0.523877,0.270903,0.493652,0.372804,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
787472,-0.598037,-0.528792,0.253908,0.490625,0.382297,-0.593750,-0.531250,0.250000,0.484375,0.390625,90.000000,94.000000,16.000000,31.000000,25.000000
787528,-0.633128,-0.516008,0.282724,0.497495,0.368917,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
787536,-0.618572,-0.523534,0.277520,0.497583,0.367003,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
787592,-0.593731,-0.531892,0.255511,0.492294,0.377818,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
787600,-0.617717,-0.523351,0.273211,0.497024,0.370833,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
787656,-0.581348,-0.536039,0.243915,0.490228,0.383243,-0.578125,-0.531250,0.250000,0.484375,0.375000,91.000000,94.000000,16.000000,31.000000,24.000000
787720,-0.628674,-0.517551,0.276274,0.497243,0.372708,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
787784,-0.620977,-0.520450,0.273250,0.494559,0.373619,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
787912,-0.608763,-0.525714,0.267505,0.492665,0.374307,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
788040,-0.631682,-0.515491,0.281762,0.494768,0.370643,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
788048,-0.619663,-0.523370,0.279175,0.498079,0.365780,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
788168,-0.631279,-0.516724,0.283814,0.496752,0.367438,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
788176,-0.599387,-0.528209,0.253765,0.490557,0.383274,-0.593750,-0.531250,0.250000,0.484375,0.390625,90.000000,94.000000,16.000000,31.000000,25.000000
794696,-0.619398,-0.521284,0.253412,0.499842,0.387428,-0.625000,-0.515625,0.250000,0.500000,0.390625,88.000000,95.000000,16.000000,32.000000,25.000000
794704,-0.610323,-0.526279,0.249525,0.501114,0.385963,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
794760,-0.661083,-0.503626,0.288744,0.505655,0.370309,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
794768,-0.646207,-0.508879,0.276381,0.500286,0.378419,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
794824,-0.630271,-0.517086,0.266677,0.500557,0.380123,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
794832,-0.615126,-0.523436,0.261642,0.497095,0.379824,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
794888,-0.658448,-0.505157,0.288442,0.505622,0.369541,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
794896,-0.643556,-0.509410,0.275565,0.498124,0.379277,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
794952,-0.613260,-0.524478,0.268118,0.495321,0.374300,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
794960,-0.642036,-0.514213,0.289367,0.503705,0.363178,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
795016,-0.626635,-0.518909,0.265652,0.500345,0.379547,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
795024,-0.605025,-0.527734,0.253500,0.496809,0.382450,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
795080,-0.660643,-0.502281,0.287133,0.502382,0.373408,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
795144,-0.635999,-0.515186,0.272725,0.502377,0.376084,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
795152,-0.626496,-0.518000,0.269591,0.497309,0.377596,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
795208,-0.643495,-0.512292,0.291891,0.500561,0.363335,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
795216,-0.634588,-0.517231,0.283610,0.502369,0.365840,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
795272,-0.593757,-0.531091,0.240402,0.494448,0.389998,-0.593750,-0.531250,0.234375,0.500000,0.390625,90.000000,94.000000,15.000000,32.000000,25.000000
795336,-0.595824,-0.532315,0.251093,0.497182,0.379864,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
795344,-0.636040,-0.515089,0.276747,0.501224,0.373159,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
795400,-0.655669,-0.507889,0.304073,0.504092,0.355393,-0.656250,-0.500000,0.296875,0.500000,0.359375,86.000000,96.000000,19.000000,32.000000,23.000000
795408,-0.615902,-0.523107,0.258175,0.498242,0.382591,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
795464,-0.606162,-0.526959,0.262007,0.493959,0.377155,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
795472,-0.584198,-0.534368,0.242658,0.489864,0.386044,-0.578125,-0.531250,0.234375,0.484375,0.390625,91.000000,94.000000,15.000000,31.000000,25.000000
795528,-0.634029,-0.516329,0.286991,0.498421,0.364945,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
795592,-0.581349,-0.536970,0.245315,0.492073,0.380931,-0.578125,-0.531250,0.250000,0.484375,0.375000,91.000000,94.000000,16.000000,31.000000,24.000000
795600,-0.614539,-0.525464,0.267240,0.499708,0.373055,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
795656,-0.591446,-0.533828,0.256465,0.493692,0.375116,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
795720,-0.605107,-0.527103,0.265106,0.492477,0.374627,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
