stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c
147720,30,30,19.570900,0.384614,0.040728,0.023451,-0.719536,-0.473348,0.318387,0.514223,0.360274,0.016882,0.011091,0.017480,0.006727,0.011831,-22,-0.718750,-0.468750,0.312500,0.515625,0.359375
147720,50,2,1.366640,0.138322,0.067754,0.029071,-0.751009,-0.506064,0.358133,0.547143,0.351797,0.133853,0.137764,0.164328,0.127478,0.150100,-22,-0.750000,-0.500000,0.359375,0.546875,0.343750
147720,50,10,6.578260,0.202578,0.068193,0.031277,-0.726038,-0.477896,0.322655,0.519384,0.361896,0.031382,0.027546,0.038291,0.025806,0.030317,-22,-0.718750,-0.484375,0.328125,0.515625,0.359375
147720,50,30,19.599500,0.469456,0.067855,0.032899,-0.720450,-0.473860,0.318711,0.514933,0.360666,0.017877,0.011966,0.018493,0.007975,0.012290,-22,-0.718750,-0.468750,0.312500,0.515625,0.359375
8272,30,2,1.358810,0.150524,0.041084,0.027293,-0.756001,-0.476045,0.368876,0.532774,0.330395,0.107553,0.096874,0.134146,0.094706,0.124386,-22,-0.750000,-0.484375,0.375000,0.531250,0.328125
8272,30,10,6.629810,0.178580,0.040883,0.023699,-0.743376,-0.464312,0.348496,0.519482,0.339710,0.025167,0.021203,0.028168,0.020900,0.018026,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8272,30,30,19.811100,0.432768,0.041054,0.023179,-0.740504,-0.462639,0.346719,0.517433,0.338991,0.014020,0.010507,0.016108,0.008271,0.010524,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8272,50,2,1.386390,0.153159,0.068479,0.030400,-0.770003,-0.489216,0.386227,0.546828,0.326163,0.138773,0.126892,0.165646,0.119872,0.158599,-22,-0.765625,-0.500000,0.390625,0.546875,0.328125
8272,50,10,6.661600,0.249099,0.068441,0.031057,-0.746767,-0.467006,0.350887,0.522160,0.340726,0.032256,0.027022,0.039067,0.027231,0.028914,-22,-0.750000,-0.468750,0.359375,0.515625,0.343750
8272,50,30,19.840200,0.445664,0.068519,0.030866,-0.741557,-0.463252,0.347275,0.518112,0.339422,0.015213,0.011312,0.017548,0.009679,0.011246,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8264,30,2,1.375020,0.239825,0.044670,0.027641,-0.755368,-0.484146,0.366959,0.536102,0.336453,0.105176,0.105789,0.136932,0.100573,0.117946,-22,-0.750000,-0.484375,0.359375,0.531250,0.343750
8264,30,10,6.682900,0.195513,0.044642,0.027081,-0.738081,-0.467192,0.342831,0.518335,0.344106,0.029187,0.023242,0.025432,0.021269,0.022995,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8264,30,30,19.953200,0.421660,0.044523,0.025421,-0.735049,-0.465544,0.340854,0.516266,0.343473,0.012799,0.009971,0.010223,0.006853,0.006336,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8264,50,2,1.401420,0.194139,0.073831,0.034955,-0.766606,-0.495031,0.385608,0.549184,0.326846,0.148432,0.133403,0.175058,0.127266,0.177373,-22,-0.765625,-0.500000,0.390625,0.546875,0.328125
8264,50,10,6.711310,0.217328,0.073118,0.033478,-0.741597,-0.469881,0.345117,0.521023,0.345338,0.029681,0.025093,0.031725,0.024210,0.020809,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8264,50,30,19.983900,0.434541,0.074063,0.034757,-0.736325,-0.466373,0.341616,0.517192,0.343889,0.014138,0.011075,0.012281,0.008467,0.006989,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8464,30,2,1.376050,0.137963,0.044018,0.025338,-0.758971,-0.476274,0.362940,0.532657,0.339648,0.121506,0.107449,0.133112,0.102692,0.133268,-22,-0.765625,-0.468750,0.359375,0.531250,0.343750
8464,30,10,6.692760,0.188137,0.044119,0.024469,-0.743522,-0.462397,0.338821,0.516031,0.351068,0.023653,0.019772,0.025692,0.019915,0.017424,-22,-0.750000,-0.468750,0.343750,0.515625,0.359375
8464,30,30,19.993200,0.431788,0.044488,0.025897,-0.740208,-0.460160,0.336627,0.513595,0.350146,0.011728,0.008730,0.009645,0.007133,0.005802,-22,-0.734375,-0.453125,0.328125,0.515625,0.343750
8464,50,2,1.407200,0.266718,0.073861,0.034395,-0.773319,-0.488487,0.379110,0.544743,0.337953,0.144171,0.131140,0.171359,0.125772,0.162096,-22,-0.781250,-0.484375,0.375000,0.546875,0.343750
8464,50,10,6.721810,0.223911,0.073511,0.033813,-0.746571,-0.463945,0.340564,0.518113,0.351840,0.034897,0.025351,0.031546,0.026035,0.022424,-22,-0.750000,-0.468750,0.343750,0.515625,0.359375
8464,50,30,20.018700,0.438180,0.073560,0.034408,-0.741470,-0.460786,0.337330,0.514376,0.350551,0.013000,0.009773,0.011548,0.008238,0.007282,-22,-0.734375,-0.468750,0.343750,0.515625,0.343750
8456,30,2,1.364400,0.116983,0.044154,0.024614,-0.692550,-0.518490,0.326560,0.529296,0.355183,0.105202,0.109006,0.117724,0.095851,0.115753,-22,-0.703125,-0.515625,0.328125,0.531250,0.359375
