crystal rawid	A 	 	t_0 	alpha 	beta 
838861890	0.242394	123.71	1.17065	40.4061
838861891	0.241433	123.95	1.1712	40.6459
838861892	0.241659	123.933	1.16645	40.6937
838861893	0.241012	122.885	1.15296	40.7952
838861894	0.240904	123.645	1.18086	40.5956
838861895	0.24218	124.289	1.1765	40.3694
838861896	0.241988	126.061	1.15568	40.1948
838861897	0.243121	123.63	1.164	40.4242
838861898	0.241002	123.957	1.17196	40.6592
838861899	0.241807	122.865	1.15832	40.6529
838861900	0.242545	124.568	1.16111	40.6997
838861901	0.242563	124.079	1.1911	40.0534
838861902	0.241768	124.077	1.17223	40.5976
838861903	0.241998	123.711	1.16854	40.5248
838861904	0.241042	121.662	1.16371	40.4089
838861905	0.2439	123.945	1.16164	40.2261
838861906	0.24264	123.933	1.19229	40.0193
838861907	0.241608	123.891	1.1782	40.3831
838861908	0.241787	123.969	1.18545	40.342
838861909	0.242163	122.477	1.1655	40.2403
838861910	0.244235	124.359	1.17438	40.0354
838861911	0.243424	124.131	1.1589	40.3892
838861912	0.242148	124.076	1.19454	40.0247
838861913	0.242898	123.335	1.15959	40.4632
838861914	0.242493	123.735	1.16564	40.5015
838861915	0.24223	125.88	1.17034	40.6961
838861916	0.24186	125.553	1.19427	40.3421
838861917	0.241664	125.09	1.18002	40.223
838861918	0.242416	124.821	1.20782	40.0266
838861919	0.2423	123.877	1.16866	40.4837
838861920	0.241796	124.386	1.186	40.3869
838861921	0.242538	124.724	1.22175	39.5562
838861922	0.241631	124.076	1.17635	40.5962
838861923	0.242996	123.477	1.1864	39.8343
838861924	0.241514	123.279	1.18314	40.3958
838861925	0.241156	124.114	1.16692	40.7798
838861926	0.240841	124.346	1.16583	40.9336
838861927	0.241278	124.866	1.2074	40.2109
838861928	0.24133	124.257	1.18694	40.465
838861929	0.240412	124.523	1.1975	40.4942
838861930	0.241208	124.212	1.17578	40.6343
838861931	0.240274	124.653	1.18766	40.6726
838861932	0.24045	124.259	1.19083	40.452
838861933	0.240055	124.344	1.19589	40.6739
838861934	0.240454	123.939	1.20267	40.3268
838861935	0.240123	125.045	1.15679	41.3091
838861936	0.241045	124.186	1.16841	40.8143
838861937	0.239437	125.067	1.19861	40.6881
838861938	0.240618	123.332	1.17546	40.7678
838861939	0.239479	124.232	1.20349	40.5696
838861940	0.24232	124.483	1.18563	40.316
838861941	0.242402	125.112	1.18377	40.3007
838861942	0.241928	124.693	1.20347	40.1347
838861943	0.240906	125.329	1.22105	40.0211
838861944	0.24167	124.543	1.19625	40.1668
838861945	0.242187	123.531	1.11122	41.4343
838861946	0.243504	122.705	1.13835	40.5133
838861947	0.24249	124.242	1.19187	40.0461
838861948	0.242543	124.258	1.17056	40.5824
838861949	0.242348	123.798	1.17622	40.3285
838861950	0.241638	124.565	1.19346	40.2004
838861951	0.242814	124.308	1.21471	39.4374
838861952	0.241329	124.721	1.20482	40.1451
838861953	0.2415	123.394	1.15169	40.8549
838861954	0.241112	123.016	1.1502	41.0426
838861955	0.24324	123.384	1.1686	40.2587
838861956	0.241439	124.221	1.18944	40.2923
838861957	0.241722	123.156	1.18455	40.1793
838861958	0.241576	124.11	1.17824	40.4272
838861959	0.24235	122.571	1.1266	41.0985
838861960	0.241711	123.678	1.1535	40.7994
838861961	0.241066	122.804	1.17534	40.3401
838861962	0.240743	122.944	1.17827	40.4442
838861963	0.240987	123.508	1.19989	40.1076
838861964	0.239939	123.142	1.19277	40.5035
838861965	0.241242	122.344	1.10459	41.5663
838861966	0.241434	122.959	1.1471	41.0694
838861967	0.241277	123.168	1.16948	40.6495
838861968	0.241424	125.25	1.15239	40.4405
838861969	0.240814	124.365	1.16302	40.5211
838861970	0.243766	125.551	1.06171	41.1572
838861971	0.24069	125.38	1.21475	40.2871
838861972	0.240775	123.996	1.15239	41.2084
838861973	0.242015	122.555	1.15333	40.6563
838861974	0.240853	123.43	1.17469	40.6575
838861975	0.242681	124.573	1.14943	40.7934
838861976	0.241371	124.166	1.15995	40.888
838861977	0.242409	123.205	1.1368	40.8646
838861978	0.241904	125.957	1.09798	41.1266
838861979	0.242249	123.232	1.157	40.5524
838861980	0.241	124.619	1.1899	40.5054
838861981	0.240593	124.066	1.18794	40.6345
838861982	0.241095	123.24	1.15666	40.9168
838861983	0.239536	123.971	1.18267	40.8872
838861984	0.240387	122.605	1.17713	40.6008
838861985	0.241275	123.523	1.18278	40.4404
838861986	0.242507	122.223	1.14576	40.5943
838861987	0.242398	122.774	1.16225	40.541
838861988	0.241762	122.765	1.16098	40.5712
838861989	0.240564	124.419	1.23053	39.7733
838861990	0.242438	123.129	1.13832	40.9195
838861991	0.245122	122.207	1.16649	39.7209
838861992	0.242317	121.458	1.15243	40.455
838861993	0.242759	123.86	1.17197	39.7745
838861994	0.24312	123.676	1.17793	40.1594
838861995	0.242302	123.71	1.16826	40.3801
838861996	0.243626	123.119	1.15878	40.164
838861997	0.244191	124.032	1.20002	39.5767
838861998	0.242545	121.18	1.12165	40.7833
838861999	0.241581	123.04	1.15496	40.8829
838862000	0.243762	123.029	1.14142	40.5301
838862001	0.241506	124.483	1.21074	39.7438
838862002	0.240833	123.772	1.19804	40.2702
838862003	0.241812	123.311	1.14252	40.9471
838862004	0.240867	123.579	1.17353	40.7828
838862005	0.242507	118.834	0.952492	44.42
838862006	0.24367	124.503	1.18235	39.9827
838862007	0.242743	124.782	1.21914	39.6648
838862008	0.242285	123.865	1.17644	40.2557
838862009	0.242666	124.801	1.22986	39.3006
838862010	0.241488	124.861	1.20234	40.2443
838862011	0.240525	124.556	1.1886	40.5799
838862012	0.239401	125.241	1.2152	40.3694
838862013	0.241765	123.987	1.18212	40.3217
838862014	0.241057	122.383	1.18409	39.7806
838862015	0.242119	123.424	1.14825	40.8889
838862016	0.241728	124.008	1.17669	40.4599
838862017	0.241393	123.92	1.17985	40.4907
838862018	0.241679	123.47	1.18208	40.1289
838862019	0.240453	122.921	1.15846	40.9701
838862020	0.242528	123.227	1.13232	41.0071
838862021	0.243123	124.488	1.19486	40.0284
838862022	0.241789	123.126	1.16575	40.4948
838862023	0.241913	123.78	1.1642	40.5628
838862025	0.242976	124.508	1.165	40.5047
838862026	0.242323	124.776	1.1783	40.372
838862027	0.241128	124.12	1.19868	39.989
838862028	0.24236	123.623	1.18165	40.0881
838862029	0.241081	124.071	1.16369	40.8799
838862030	0.242357	125.325	1.19808	40.0049
838862031	0.241632	124.443	1.17358	40.6209
838862032	0.241754	125.071	1.1821	40.5294
838862033	0.241594	124.861	1.20543	40.0812
838862034	0.241355	123.993	1.17062	40.6362
838862035	0.242224	124.647	1.15998	40.7373
838862036	0.24182	125.428	1.19678	40.2653
838862037	0.242024	124.202	1.17617	40.4397
838862038	0.24115	124.887	1.19799	40.384
838862039	0.242072	123.562	1.18104	40.0659
838862040	0.244316	124.708	1.08208	40.5373
838862041	0.242213	124.108	1.17643	40.3261
838862042	0.242565	123.338	1.19333	39.9346
838862043	0.242193	123.922	1.18846	40.1171
838862044	0.242762	123.312	1.16228	40.3691
838862045	0.241964	123.464	1.15302	40.7705
838862046	0.241891	125.258	1.16638	39.9656
838862047	0.239647	123.831	1.18115	40.9883
838862048	0.241877	123.468	1.19633	40.0852
838862049	0.239825	124.007	1.19423	40.5862
838862050	0.240267	124.84	1.1752	41.0106
838862051	0.24102	124.314	1.18235	40.5716
838862052	0.241454	123.788	1.19909	40.2266
838862053	0.24031	124.76	1.19186	40.5744
838862054	0.240332	124.905	1.20268	40.4926
838862055	0.242431	123.756	1.17232	40.3553
838862056	0.243058	123.66	1.18021	40.007
838862057	0.241065	124.217	1.16882	40.811
838862058	0.243055	122.817	1.18254	39.8611
838862059	0.241371	123.856	1.17229	40.5636
838862060	0.243671	124.482	1.17227	40.2346
838862061	0.243747	125.161	1.20673	39.6748
838862062	0.241844	124.805	1.19183	40.3874
838862063	0.242091	124.049	1.18435	40.2778
838862064	0.242024	124.245	1.1899	40.2033
838862065	0.241487	123.129	1.16315	40.6489
838862066	0.242192	125.786	1.16691	39.7404
838862067	0.241795	124.979	1.22077	39.8777
838862068	0.240222	123.784	1.19311	40.421
838862069	0.240458	124.214	1.20319	40.3947
838862070	0.241723	123.463	1.16888	40.4072
838862071	0.240307	124.783	1.18867	40.7471
838862072	0.241151	124.174	1.19804	40.0712
838862073	0.24077	125.315	1.21102	39.7603
838862074	0.240303	124.37	1.19787	40.5349
838862075	0.241057	124.402	1.13901	41.3127
838862076	0.241479	123.649	1.16316	40.5629
838862077	0.242259	122.109	1.09787	41.5184
838862078	0.240822	123.767	1.15817	40.9789
838862079	0.241323	123.498	1.15059	40.981
838862080	0.240555	125.085	1.18653	40.8782
838862081	0.241727	124.195	1.1741	40.6783
838862082	0.241419	125.513	1.20838	40.109
838862083	0.241772	123.42	1.15743	40.6941
838862084	0.24045	122.627	1.13339	41.3714
838862085	0.242623	124.467	1.18359	40.3659
